id,k9_key,composition,place,k1,k6,key_sig,year,date_text,age,category,type,created_at,spotify_track_id
550,494a,Movement for a Horn Concerto in E (fragment),Vienna,Anh. 98a,494a,F Major,1786,Summer 1786,30,Concertos,"Concertos for one or more string, wind",2025-09-05 20:46:27.448184+00,
551,495,Horn Concerto No. 4 in E-flat,Vienna,495,495,E Flat Major,1786,26 June 1786,30,Concertos,"Concertos for one or more string, wind",2025-09-05 20:46:27.448184+00,
552,495a,Movement to a Piano Trio in G (in conjunction with K. 496),Vienna,Anh. 52,495a,G Major,1786,June 1786,30,Chamber Music,"Quintets, quartets and trios with piano",2025-09-05 20:46:27.448184+00,
553,496,Piano Trio No. 2 in G,Vienna,496,496,G Major,1786,8 July 1786,30,Chamber Music,"Quintets, quartets and trios with piano",2025-09-05 20:46:27.448184+00,
554,497,Sonata in F for Piano Four-Hands,Vienna,497,497,F Major,1786,1 August 1786,30,Piano Music,Works for two pianos and for piano four hands,2025-09-05 20:46:27.448184+00,
555,498,"Trio in E-flat for Piano, Clarinet and Viola, ""Kegelstatt""",Vienna,498,498,E Flat Major,1786,5 August 1786,30,Chamber Music,"Quintets, quartets and trios with piano",2025-09-05 20:46:27.448184+00,
556,498a,Piano Sonata in B-flat,nan,498a,Anh. C 25.04,B Flat Major,1786,spurious (by August Eberhard Müller); possibly 1st and 3rd movements authentic fragments (still doubtful),30,Supplement,Supplement,2025-09-05 20:46:27.448184+00,
557,499,"String Quartet No. 20 in D, ""Hoffmeister""",Vienna,499,499,D Major,1786,19 August 1786,30,Chamber Music,String Quartets and Quartets with a Wind Instrument,2025-09-05 20:46:27.448184+00,
558,5,Minuet in F for Piano,Salzburg,5,5,F Major,1762,5 July 1762,6,Piano Music,Piano Pieces,2025-09-05 20:46:27.448184+00,
559,50,Bastien und Bastienne,Vienna,50,46b,,1768,September - October 1768,12,Vocal Music with Orchestra,Operas and Singspiels,2025-09-05 20:46:27.448184+00,
560,500,12 Variations in B-flat,Vienna,500,500,B Flat Major,1786,12 September 1786,30,Piano Music,Variations for Piano,2025-09-05 20:46:27.448184+00,
561,501,5 Variations in G,Vienna,501,501,G Major,1786,4 November 1786,30,Piano Music,Works for two pianos and for piano four hands,2025-09-05 20:46:27.448184+00,
562,501a,Allegro for Piano Trio in B-flat (fragment),Vienna,Anh. 51,501a,B Flat Major,1786,1786,30,,,2025-09-05 20:46:27.448184+00,
563,502,Piano Trio No. 3 in B-flat,Vienna,502,502,B Flat Major,1786,18 November 1786,30,Chamber Music,"Quintets, quartets and trios with piano",2025-09-05 20:46:27.448184+00,
564,502a,Movement to a Piano Concerto in C (draft to K. 503),Vienna,Anh. 60,502a,C Major,1786,November 1786,30,,,2025-09-05 20:46:27.448184+00,
565,503,Piano Concerto No. 25 in C,Vienna,503,503,C Major,1786,4 December 1786,30,Concertos,Concertos for piano,2025-09-05 20:46:27.448184+00,
566,504,"Symphony No. 38 in D, ""Prague""",Vienna,504,504,D Major,1786,6 December 1786,30,Orchestral Music,Symphonies,2025-09-05 20:46:27.448184+00,
567,504a,Movement to a Symphony in G (in conjunction with K. 504),Vienna,Anh. 105,504a,G Major,1786,December 1786,30,,,2025-09-05 20:46:27.448184+00,
568,505,"Scena and Rondo for Soprano, ""Ch'io mi scordi di te?""",Vienna,505,505,,1786,26 December 1786,30,Vocal Music with Orchestra,"Arias, scenes, ensembles and choirs with orchestra",2025-09-05 20:46:27.448184+00,
569,506,"Song, ""Lied der Freiheit""",Vienna,506,506,,1786,c. end of 1785,30,Vocal Music (smaller forms),Lieder,2025-09-05 20:46:27.448184+00,
570,507,"Canon ""Heiterkeit und Leichtes Blut""",Vienna,,,,1786,,30,Vocal Music (smaller forms),Canons,2025-09-05 20:46:27.448184+00,
571,508,"Canon ""Auf das Wohl aller Freunde""",Vienna,,,,1786,,30,Vocal Music (smaller forms),Canons,2025-09-05 20:46:27.448184+00,
572,508a,14 Intervallkanons,Vienna,,,,1786,,30,Vocal Music (smaller forms),Canons,2025-09-05 20:46:27.448184+00,
573,508A,Canon,Vienna,,,,1786,,30,Vocal Music (smaller forms),Canons,2025-09-05 20:46:27.448184+00,
574,509,6 German Dances,Prague,509,509,,1787,6 February 1787,31,Orchestral Music,Dances and Marches,2025-09-05 20:46:27.448184+00,
575,51,La finta semplice,Vienna,51,46a,,1768,First half 1768,12,Vocal Music with Orchestra,Operas and Singspiels,2025-09-05 20:46:27.448184+00,
576,511,Rondo for Piano in A minor,Vienna,511,511,A Minor,1787,11 March 1787,31,Piano Music,Piano Pieces,2025-09-05 20:46:27.448184+00,
577,512,"Recitative and Aria for Bass, ""Alcandro, lo confesso""",Vienna,512,512,,1787,19 March 1787,31,Vocal Music with Orchestra,"Arias, scenes, ensembles and choirs with orchestra",2025-09-05 20:46:27.448184+00,
578,513,"Aria for Bass, ""Mentre ti lascio""",Vienna,513,513,,1787,23 March 1787,31,Vocal Music with Orchestra,"Arias, scenes, ensembles and choirs with orchestra",2025-09-05 20:46:27.448184+00,
579,514,"Rondo in D for horn and orchestra (actually an arrangement of KV 412,02 by Franz Xaver Süßmayr)",nan,514,514,D Major,1791,nan,35,Concertos,"Concertos for one or more string, wind",2025-09-05 20:46:27.448184+00,
580,514a,Movement for a String Quintet in B-flat,Vienna,Anh. 80,514a,B Flat Major,1787,1787,31,Chamber Music,String quintets and quintets with winds,2025-09-05 20:46:27.448184+00,
581,515,String Quintet No. 3 in C,Vienna,515,515,C Major,1787,19 April 1787,31,Chamber Music,String quintets and quintets with winds,2025-09-05 20:46:27.448184+00,
582,515a,Movement for a String Quintet in F (in conjunction with K. 515c),Vienna,Anh. 87,515a,F Major,1791,not before March 1791,35,,,2025-09-05 20:46:27.448184+00,
583,515c,Movement for a String Quintet in A minor,Vienna,Anh. 79,515c,A Minor,1791,not before March 1791,35,Chamber Music,String quintets and quintets with winds,2025-09-05 20:46:27.448184+00,
584,516,String Quintet No. 4 in G minor,Vienna,516,516,G Minor,1787,16 May 1787,31,Chamber Music,String quintets and quintets with winds,2025-09-05 20:46:27.448184+00,
585,516a,Rondo for String quintet in G (fragment),Vienna,Anh. 86,516a,G Major,1787,May 1787,31,,,2025-09-05 20:46:27.448184+00,
586,516c,Allegro for Clarinet Quintet in B-flat (fragment),Vienna,Anh. 91,516c,E Flat Major,1787,1787,31,Chamber Music,String quintets and quintets with winds,2025-09-05 20:46:27.448184+00,
587,516d,Rondo for Clarinet Quintet in E-flat (fragment),Vienna,nan,516d,E Flat Major,1787,1787,31,,,2025-09-05 20:46:27.448184+00,
588,516f,Musikalisches Würfespiel,Vienna,,,C Major,1787,,31,Supplement,Supplement,2025-09-05 20:46:27.448184+00,
589,517,"Song, ""Die Alte"" (fragment)",Vienna,517,517,,1787,18 May 1787,31,Vocal Music (smaller forms),Lieder,2025-09-05 20:46:27.448184+00,
590,518,"Song, ""Die Verschweigung"" (fragment)",Vienna,518,518,,1787,20 May 1787,31,Vocal Music (smaller forms),Lieder,2025-09-05 20:46:27.448184+00,
